,alamat_jalan,batas_barat,batas_selatan,batas_timur,batas_utara,bujur,cagar_budaya_id,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,lintang,nama,nomor_penetapan,pemilik,pengelola,propinsi,tanggal_penetapan
0,Jl. Merdeka Barat Nomor 12,-,-,-,-,106.8214540,6E213149-5902-4E29-AF11-B0F765D0D517,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000943,-6.1765550,Arca Bhairawa,024/M/2014,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2014-01-17 00:00:00.000
1,Jl. Merdeka Barat Nomor 12,-,-,-,-,106.8217740,44AF3736-D7BD-4C05-8619-45E7D66078BC,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000953,-6.1763100,Arca Prajnyaparamita,251/M/2013,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
2,-,,,,,106.8672000,D042B3EB-E051-4039-8B5F-705644E39D12,Bidara Cina,Kota Jakarta Timur,Kec. Jatinegara,KB000125,-6.2187640,Bangunan Pusat Pendidikan dan Latihan Bank Rakyat Indonesia,Kepmen Nomor 011/M/1999,,,Prop. D.K.I. Jakarta,
3,Jl. Imam Bonjol Nomor 1,,,,,106.8310110,3BC709F0-72BD-4860-A45F-B24BCDE17766,Menteng,Kota Jakarta Pusat,Kec. Menteng,KB000955,-6.2004280,Bangunan Utama Gedung Museum Perumusan Naskah Proklamasi,Kepmen Nomor 253/M/2013,,,Prop. D.K.I. Jakarta,
4,Jl. Kramat Raya Nomor 106,,,,,106.8432240,C306B161-DB0F-4697-ADF0-ED9B37E7116F,Kwitang,Kota Jakarta Pusat,Kec. Senen,KB000956,-6.1837130,Bangunan Utama Gedung Museum Sumpah Pemuda,Kepmen Nomor 254/M/2013,,,Prop. D.K.I. Jakarta,
5,Jl. Kramat Raya Nomor 106,-,-,-,-,106.8430690,27221DC9-A654-4AA1-BC38-F0AF51A8617D,Kwitang,Kota Jakarta Pusat,Kec. Senen,KB000949,-6.1838190,Biola WR Supratman,247/M/2013,Negara,Museum Sumpah Pemuda,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
6,Jl. Merdeka Barat Nomor 12,-,-,-,-,106.8220860,545F2A54-DEB3-460F-A237-2E4DC35F891C,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000952,-6.1765870,Bokor Emas Berelief Cerita Ramayana ,250/M/2013,Negara,Museum Nasional,Prop. D.K.I. Jakarta,2013-12-27 00:00:00.000
7,Gadjah Mada Nomor 111,"Perkampungan Jawa, kebon pisang","Pertokoan, perkampungan, dan Gedung Kompas",Jl. Gadjah Mada,"Kampung, Hotel Palembang, gedung cahaya motor",106.8168260,9FAC6B80-406B-4CE1-906B-03E9A0614930,-,Kota Jakarta Barat,Kec. Taman Sari,KB000146,-6.1537470,Gedung Arsip Nasional ,140/M/1998,,,Prop. D.K.I. Jakarta,1998-06-16 00:00:00.000
8,Merdeka Timur No. 14,"Jl. Merdeka Timur, stasiun Gambir",Jl. Batu dan Gedung Departemen Kelautan dan Perikanan,Permukiman penduduk,Gedung Wisma Pertamina,106.8322220,263CCDFD-CEF2-40D5-B393-5CA8662C8AAB,Gambir,Kota Jakarta Pusat,Kec. Gambir,KB000168,-6.1786110,Gedung Balai Seni (Wisma Seni),PM.13/PW.007/MKP/05,Pemda DKI Jakarta,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
9,Kali Besar Barat No. 1-2,"Jl. Malaka Selatan, permukiman","Jl. Malaka, kantor Telkom",Jl. Kali Besar Barat,Perkantoran,106.8116110,C683A8C0-71D8-432C-A326-F00BC25809A9,Roa Malaka,Kota Jakarta Barat,Kec. Tambora,KB000191,-6.8034440,Gedung Bank Bumi Daya,PM.13/PW.007/MKP/05,Bank Mandiri,,Prop. D.K.I. Jakarta,2005-04-25 00:00:00.000
10,MH. Thamrin No. 2,,,,,106.8216130,21AC59E0-0366-4BE2-BF40-CC445171FF69,-,Kota Jakarta Pusat,Kec. Tanah Abang,KB000154,-6.1817290,Gedung Bank Indonesia,Kepmen Nomor 237/M/1999,,,Prop. D.K.I. Jakarta,
