,alamat_jalan,bangunan,bujur,desa_kelurahan,kabupaten_kota,kecamatan,kode_pengelolaan,koleksi,lintang,luas_tanah,museum_id,nama,pengelola,propinsi,sdm,standar,status_kepemilikan,sumber_dana,tahun_berdiri,tipe
0,"Jl. Silang Monas, Gambir",Baru,106.8271310,-,Kota Jakarta Pusat,Gambir,MS000126,,-6.1754140,80000,CD3B85D4-9056-436C-A8D4-DDAD448CB8B0,Monumen Nasional ,PEMERINTAH DAERAH,D.K.I. Jakarta,,C,,PEMERINTAH DAERAH,1975,Umum
1,Jl. Diponegoro No. 29,Lama,106.8377380,-,Kota Jakarta Selatan,Cilandak,MS000085,,-6.1995800,,1D2791AF-E637-4CF2-A687-962C3133EDEA,Museum Adam Malik (tidak aktif),Yayasan Adam Malik,D.K.I. Jakarta,,-,,YAYASAN ADAM MALIK,1985,khusus
2,Jl. Batan I No.2 Lebak Bulus,Baru,106.7712970,-,Kota Jakarta Selatan,Cilandak,MS000095,,-6.2908520,,2FFA5520-A076-4A74-B1D4-A4F94FDAA3FA,Museum Al-Qur’an,Perguruan Tinggi Ilmu Al Quran,D.K.I. Jakarta,,-,,PERGURUAN TINGGI ILMU AL QURAN,1981,Khusus
3,Gedung Lembaga Alkitab Indonesia Lt. 2 Jl. Salemba Raya No. 12 Senen,Lama,106.9025100,-,Kota Jakarta Pusat,Senen,MS000089,6000,-6.1408990,,C9A0C7E9-E930-4EE3-8E39-9B907D1ED89B,Museum Alkitab,Yayasan Lembaga Alkitab Indonesia,D.K.I. Jakarta,,B,,YAYASAN LEMBAGA ALKITAB INDONESIA,1954,khusus
4,Jl. Salemba No.6,Lama,106.8486230,-,Kota Jakarta Pusat,Senen,MS000142,,-6.1939590,,1738F1BC-5849-4B6F-97D9-F0C22EAEDEAE,"Museum Anatomy FK, UI",Fakultas Kedokteran UI,D.K.I. Jakarta,,-,,FAKULTAS KEDOKTERAN UI,,khusus
5,"Jl. Rajawali Selatan Raya no. 3 Gn. Sahari Utara, Sawah Besar",Baru,106.8402340,-,Kota Jakarta Pusat,Sawah Besar,MS000134,,-6.1469940,2000,4A33CF6F-A284-4E42-830B-E7DC755614CD,Museum Art Mon Decor,Swasta,D.K.I. Jakarta,,-,,SWASTA,2011,khusus
6,Gd. Bank Indonesia Lt. 6 Jl. Kebon Sirih No. 82 - 84,Baru,106.8264110,-,Kota Jakarta Pusat,Menteng,MS000061,,-6.1827780,,55C9B159-693F-4B1E-9A7D-79C07EE381AE,Museum Artha Suaka,Bank Indonesia,D.K.I. Jakarta,,-,,BANK INDONESIA,2006,khusus
7,Kompleks Taman Mini,Baru,106.8959610,-,Kota Jakarta Timur,Cipayung,MS000049,,-6.3001030,6500,3E27F2C6-C170-4132-BB59-598DD39DD84C,Museum Asmat,YAYASAN Harapan Kita,D.K.I. Jakarta,,B,,YAYASAN HARAPAN KITA,1986,Khusus
8,Jl. Pasar Ikan  No.1,Lama,106.8089750,-,Kota Jakarta Utara,Penjaringan,MS000136,126,-6.1273430,,DE051784-7E56-40B4-91B8-EA042423D2BD,Museum Bahari,PEMERINTAH DAERAH,D.K.I. Jakarta,,A,,PEMERINTAH DAERAH,1977,Khusus
9,Jl. M.H. Thamrin No. 2,Baru,106.8127080,-,Kota Jakarta Barat,Taman Sari,MS000065,,-6.1371980,,54000A62-6DD2-4A4B-9AB6-8037C15B2E6F,Museum Bank Indonesia,BANKINDONESIA,D.K.I. Jakarta,,A,,BANK  INDONESIA,2006,Khusus
